f_in,amplitude
0,0.44276
2000,0.397619
4000,0.423539
6000,0.568114
8000,0.682273
10000,0.755425
12000,0.799245
14000,0.839161
16000,0.874666
18000,0.898126
20000,0.914709
22000,0.932419
24000,0.943435
26000,0.953531
28000,0.964435
30000,0.966876
32000,0.971277
34000,0.971391
36000,0.969302
38000,0.973022
40000,0.97033
42000,0.968254
44000,0.980029
46000,0.987254
48000,0.98803
50000,0.99878
52000,0.98757
54000,0.959096
56000,0.959916
58000,0.976537
60000,0.972878
62000,0.964342
64000,0.963053
66000,0.962268
68000,0.962357
70000,0.959077
72000,0.966623
74000,0.985619
76000,0.991361
78000,0.97923
80000,0.976112
82000,0.985305
84000,0.985999
86000,0.986328
88000,0.987834
90000,0.98818
92000,0.986709
94000,0.975686
96000,0.967945
98000,0.971809
100000,0.972752
102000,0.974594
104000,0.985423
106000,0.988584
108000,0.988382
110000,0.989382
112000,0.991291
114000,0.988935
116000,0.983833
118000,0.975033
120000,0.957913
122000,0.952185
124000,0.94208
126000,0.941183
128000,0.964885
130000,0.963856
132000,0.942602
134000,0.940257
136000,0.951073
138000,0.952746
140000,0.955714
142000,0.967468
144000,0.957247
146000,0.932198
148000,0.940027
150000,0.959758
152000,0.960821
154000,0.955228
156000,0.950016
158000,0.937752
160000,0.92455
162000,0.937777
164000,0.969618
166000,0.97717
168000,0.939818
170000,0.904708
172000,0.933892
174000,1.0152
176000,1.04607
178000,0.959461
180000,0.9114
182000,1.01073
184000,1.07656
186000,1.01786
188000,0.983384
190000,0.980109
192000,1.05209
194000,1.41886
196000,2.06135
198000,1.29435
200000,2.98126
202000,2.3802
204000,0.797223
206000,0.799441
208000,1.14158
210000,1.07436
212000,1.02471
214000,0.993171
216000,0.973287
218000,0.970341
220000,0.945551
222000,0.985403
224000,1.04682
226000,1.0767
228000,1.01611
230000,0.960162
232000,0.980006
234000,0.959024
236000,0.969581
238000,1.03829
240000,1.05985
242000,1.0523
244000,1.02107
246000,0.972007
248000,0.933862
250000,0.900492